squirrel_id,sex,year,observer,cohort,grid,trialnumber,trialdate,taglft,tagrt,colours,walk,jump,hole,hang,chew,groom,still,oft_duration,front,back,attack,attacklatency,approachlatency,mis_duration,collar,comments,mastyear,litter_id,fieldBDate,litter_size,n1_date,n1_weight,n2_date,n2_weight,dam_id,part,julian_trialdate,oft1,mis1,gridyear
23688,F,2018,ARM,2018,KL,1,7/17/18,F9423,F9424,W/G*,82.746,16,7,300.016,10.541,15.782,254.749,450,0.666,270.738,0,300,300,300,Y,never saw itself in mirror: NA for attack and approach latencies (changed to max value),0,8941,5/18/18,2,142,14.2,6/12/18,50.6,19719,138,198,-0.447942408,-2.605931195,KL 2018
23485,M,2018,ARM,2018,KL,1,6/16/18,F9476,F9211,Y*/R,78.045,20,0,278.597,19.707,10.377,272.436,450,0,299.165,0,300,300,300,Y,never saw itself in mirror: NA for attack and approach latencies (changed to max value),0,8743,4/27/18,3,118,15.9,5/24/18,54.3,20409,117,167,-0.739517683,-2.735441447,KL 2018
23463,M,2018,ARM,2018,KL,1,6/28/18,F9333,F9334,R*/G,12.711,24,0,410.861,6.239,0,368.247,450,0,299.998,0,300,300,300,Y,never saw itself in mirror: NA for attack and approach latencies (changed to max value),0,8709,4/25/18,3,115,10.3,5/23/18,50.7,19764,115,179,-1.817641931,-2.739149737,KL 2018
23586,M,2018,ARM,2018,KL,1,5/30/18,M5598,M5599,O*/B*,142.733,47,0,241.523,38.255,7.074,70.086,450,0,300,0,300,300,300,Y,never saw itself in mirror: NA for attack and approach latencies (changed to max value),0,8951,NA,3,127,35.8,5/12/18,45.8,22495,113,150,1.350351978632794,-2.73915864,KL 2018
22995,F,2017,ARM,2017,KL,2,7/31/17,M4936,M4937,B/B*,122.585,18,25,133.697,145.124,5.919,102.834,450,129.093,131.019,14,14.159,0.195,300,Y,NA,0,7767,5/16/17,3,137,12.1,6/10/17,44.3,20191,136,212,3.061224535840962,1.6123822959767802,KL 2017
22994,F,2017,ARM,2017,KL,2,8/4/17,M4940,M4941,G/G*,40.365,19,4,183.981,10.888,24.368,292.086,450,296.364,0,11,21.893,21.51,300,N,NA,0,7767,5/16/17,3,137,12.7,6/10/17,48.6,20191,136,216,-0.846396912,2.6370334204657024,KL 2017
22804,M,2017,ARM,2017,KL,2,7/26/17,M4634,M4635,W*/B*,69.004,24,8,235.714,35.622,10.483,215.696,450,234.401,151.324,8,11.061,0.551,300,N,NA,0,8042,5/5/17,4,127,14.8,5/30/17,49.5,19984,125,207,0.19310950672187718,1.6092283012945938,KL 2017
22778,M,2017,ARM,2017,KL,2,7/21/17,M4617,M4618,G*/W*,82.491,18,20,205.153,9.314,10.496,247.759,450,199.943,166.743,6,46.714,29.763,300,N,NA,0,7825,5/2/17,3,124,13.3,5/27/17,51.8,21227,122,202,0.5312582157033479,1.0244851522697465,KL 2017
23023,F,2017,ARM,2017,KL,2,7/24/17,M4953,M4954,R*/G,35.394,54,7,225.256,16.553,19.491,281.08,450,210.494,43.551,5,16.083,1.132,300,N,NA,0,7745,5/9/17,3,138,27.7,6/3/17,47.5,19766,129,205,0.040428678,1.7681709565494286,KL 2017
23026,F,2017,ARM,2017,KL,2,7/29/17,M4980,M4981,G*/W,7.927,1,6,370.469,0,5.57,363.854,450,171.549,100.97,3,11.121,0.198,300,Y,NA,0,7796,5/13/17,3,138,19.5,6/7/17,50.3,20688,133,210,-1.958098921,1.2298916289894106,KL 2017
22640,F,2017,ARM,2017,KL,2,7/13/17,M4674,M4675,R*/R*,14.276,6,4,28.935,2.734,168.803,424.264,450,69.503,139.44,3,104.114,0.41,300,Y,NA,0,7830,4/20/17,3,110,10.3,5/14/17,49.2,21350,110,194,-2.204614988,0.2850804408178538,KL 2017
22890,F,2017,ARM,2017,KL,2,7/21/17,M3853,M4681,P/R*,77.849,18,6,126.827,33.04,59.228,301.447,450,54.997,214.134,3,17.181,1.657,300,Y,B*/R* (P/R*); NKP,0,8131,5/2/17,3,130,24.5,5/28/17,48.5,20857,122,202,-0.372482283,0.18162630713001054,KL 2017
23054,F,2017,ARM,2017,KL,2,7/29/17,F9048,F9049,B/O*,56.83,12,12,116.19,2.58,22.236,328.252,450,25.073,273.094,3,78.615,21.629,300,Y,NA,0,7933,5/20/17,2,141,12.7,6/21/17,72,21366,140,210,-0.524371836,-0.500218263,KL 2017
