squirrel_id,sex,year,observer,cohort,grid,trialnumber,trialdate,taglft,tagrt,colours,walk,jump,hole,hang,chew,groom,still,oft_duration,front,back,attack,attacklatency,approachlatency,mis_duration,collar,comments,mastyear,litter_id,fieldBDate,litter_size,n1_date,n1_weight,n2_date,n2_weight,dam_id,part,julian_trialdate,gridyear,oft1,mis1
13534,M,2012,ADK,2012,KL,1,2012-08-11,82153,82154,NA,135.23,65,3,187.47,35.75,42.65,49.9,450,283.7,140.78,0,300,2.3,300,NA,NA,0,5522,2012-05-16,3,138,10.9,2012-06-11,51.4,10995,137,224,KL 2012,0.9227407919742152,0.46611547346778875
11018,F,2012,ARM,2012,SU,1,2012-06-14,F3679,F3680,G*/R*,11.472,6,1,13.148,0.139,8.559,427.88,450,292.907,0,0,298.269,9.362,300,N,NA,0,5631,2012-04-16,3,110,14.8,2012-05-10,47.6,11976,107,166,SU 2012,-2.0975547810150177,1.0778584405253306
13646,F,2012,ADK,2012,KL,1,2012-07-30,82476,82477,NA,265.37,86,1,62.96,24.89,29.32,2.6,450,243.69,76.89,0,300,35.27,300,NA,NA,0,5559,2012-06-01,3,154,11.3,2012-06-25,50,12703,153,212,KL 2012,2.5538102947096193,0.42558581182663185
13443,F,2012,ADK,2012,KL,1,2012-07-31,81968,81963,NA,137.62,11,1,125.14,25.82,20.72,86.27,450,117.42,127.94,0,300,81.88,300,NA,NA,0,5550,2012-05-03,4,127,15,2012-05-27,52.7,12513,124,213,KL 2012,0.014686411521710683,-0.5429149754528738
10049,M,2012,ADK,2012,SU,1,2012-07-24,81866,81867,NA,177.65,69,1,102.51,3.31,25.63,127.07,450,13.21,76.57,0,300,229.43,300,NA,NA,0,5625,2012-04-22,2,147,0,2012-05-26,77.5,11577,113,206,SU 2012,0.9992286582623083,-1.3658047836066334
13346,F,2012,ADK,2012,SU,1,2012-06-23,81758,81759,NA,96.11,23,0,203.8,0,26.32,6.21,450,0,9.31,0,300,246.35,300,NA,NA,0,5621,2012-04-28,3,144,0,2012-05-23,58.8,10918,119,175,SU 2012,-0.14876251853300998,-1.208615367658876
13352,M,2012,ADK,2012,SU,1,2012-06-25,81770,81771,NA,107.19,11,2,192.5,122.04,14.92,5.86,450,0,0,0,300,300,300,NA,NA,0,5645,2012-04-15,3,107,10.7,2012-05-14,66.6,12477,106,177,SU 2012,0.5298281829956437,-1.373995072403854
19257,F,2012,ADK,2012,KL,1,2012-06-15,81999,-,NA,56.52,4,0,53.8,0,0,331.12,450,6.83,0,0,300,300,300,NA,NA,0,5546,2012-05-02,4,133,28.3,2012-05-28,47.4,12305,123,167,KL 2012,-1.538013524534985,-1.3427920570763008
13367,M,2012,ADK,2012,KL,1,2012-06-23,81803,81804,R*/R,43.468,10,4,289.92,16.692,9.509,341.09,450,299.932,0,0,284.217,0.134,300,N,NA,0,5552,2012-04-24,3,116,12.5,2012-05-19,49.2,12623,115,175,KL 2012,-1.8768973161656743,1.1964677038427638
12188,M,2012,ARM,2012,KL,1,2012-07-24,67705,81966,Y!/O*,14.621,3,3,123.672,12.915,87.286,351.027,450,299.966,0,0,299.432,1.034,300,N,NA,0,5550,2012-05-03,4,127,14.8,2012-05-27,51.6,12513,124,206,KL 2012,-2.246284342819128,1.1375882169865101
13383,M,2012,ADK,2012,SU,1,2012-06-14,81836,81837,R*/R,138.45,21,1,141.07,9.55,11.6,10.55,450,209.31,239.52,0,300,300,300,NA,NA,0,5651,2012-04-22,4,115,13.9,2012-05-16,46.4,13092,113,166,SU 2012,0.3869396587644122,-1.422015616019967
11019,F,2012,ADK,2012,SU,1,2012-06-13,F3681,F3682,R*/B*,102.97,39,4,93.334,2.983,122.685,246.831,450,61.077,237.076,0,216.492,0.166,300,N,NA,0,5631,2012-04-16,3,110,13.6,2012-05-10,49.1,11976,107,165,SU 2012,-0.7305442669410324,-0.6413679217913564
11017,M,2012,ARM,2012,SU,1,2012-06-14,F3677,F3678,Y*/G*,8.433,16,3,47.304,0,28.125,384.488,450,0,299.925,0,300,300,300,N,Squirrel never sees itself to begin with. Assigned maximum value of 300 to both latencies.,0,5631,2012-04-16,3,110,13.7,2012-05-10,52.9,11976,107,166,SU 2012,-1.867702038500151,-2.6315190295871593
13153,F,2012,ARM,2012,KL,1,2012-06-03,81241,81242,R*/R*,24.854,35,5,11.478,0.827,36.976,392.122,450,0,299.785,0,298.35,1.012,300,N,NA,0,5531,2012-04-05,3,105,25.4,2012-05-01,56.5,11619,96,155,KL 2012,-1.3464242320067203,-1.4857122938670064
13235,M,2012,ADK,2012,SU,2,2012-07-21,H1493,H1494,P!/G!,159.41,62,2,202.75,16.41,32.73,0,450,0,0,0,300,300,300,NA,this video is missing,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,203,SU 2012,1.0996957776310676,-1.373995072403854
22804,M,2017,ARM,2017,KL,1,2017-06-26,M4634,M4635,W*/B*,173.187,57,12,234.894,19.554,7.138,245.698,450,147.378,121.092,26,18.624,15.143,300,N,NA,0,8042,2017-05-05,4,127,14.8,2017-05-30,49.5,19984,125,177,KL 2017,0.6246689658197113,1.4723020962694453
23023,F,2017,ARM,2017,KL,1,2017-06-30,M4953,M4954,R*/G,218.923,55,10,310.521,9.737,9.804,26.363,450,257.664,26.264,24,96.625,1.122,300,N,NA,0,7745,2017-05-09,3,138,27.7,2017-06-03,47.5,19766,129,181,KL 2017,1.442080869518264,2.098477868533117
22658,F,2017,ARM,2017,KL,1,2017-06-14,M4622,M2623,G*/R*,158.683,44,0,223.144,77.578,16.2,109.847,450,166.429,102.331,23,0.935,0.167,300,Y,NA,0,7822,2017-04-22,3,113,11.5,2017-05-18,53.2,21155,112,165,KL 2017,0.6532038037712193,1.6942798033515791
22640,F,2017,ARM,2017,KL,1,2017-06-11,M4674,M4675,R*/R*,66.403,29,6,283.487,20.208,40.305,107.036,450,195.428,40.483,22,4.134,0.347,300,Y,NA,0,7830,2017-04-20,3,110,10.3,2017-05-14,49.2,21350,110,162,KL 2017,-0.5319927318507943,2.0518924940277508
22995,F,2017,ARM,2017,KL,2,2017-07-31,M4936,M4937,B/B*,122.585,18,25,133.697,145.124,5.919,102.834,450,129.093,131.019,14,14.159,0.195,300,Y,NA,0,7767,2017-05-16,3,137,12.1,2017-06-10,44.3,20191,136,212,KL 2017,1.5678753139253712,1.15871139237136
22641,F,2017,ARM,2017,KL,1,2017-06-12,M4672,M4673,G*/G*,73.035,40,12,191.868,5.106,15.903,216.811,450,149.542,130.006,12,0.257,0.133,300,Y,NA,0,7830,2017-04-20,3,110,9.7,2017-05-14,47.7,21350,110,163,KL 2017,-0.2701624690045885,1.2638061707356496
23170,F,2017,ARM,2017,SU,1,2017-07-05,M4959,M4960,Y*/O*,73.602,46,9,170.804,98.044,20.055,128.446,450,96.798,165.531,12,53.22,1.134,300,Y,NA,0,8056,2017-05-09,3,129,13.3,2017-06-03,66.4,21984,129,186,SU 2017,0.5705108165378928,0.676519117821025
22994,F,2017,ARM,2017,KL,2,2017-08-04,M4940,M4941,G/G*,40.365,19,4,183.981,10.888,24.368,292.086,450,296.364,0,11,21.893,21.51,300,N,NA,0,7767,2017-05-16,3,137,12.7,2017-06-10,48.6,20191,136,216,KL 2017,-1.427411126079388,2.297323724845876
22996,F,2017,ARM,2017,KL,1,2017-07-23,M4938,M4939,R/R*,40.712,44,4,339.88,42.148,23.009,121.737,450,145.368,145.374,10,34.839,0.357,300,N,NA,0,7767,2017-05-16,3,137,11.7,2017-06-10,40.2,20191,136,204,KL 2017,-0.5388405861419668,1.00944569575575
22804,M,2017,ARM,2017,KL,2,2017-07-26,M4634,M4635,W*/B*,69.004,24,8,235.714,35.622,10.483,215.696,450,234.401,151.324,8,11.061,0.551,300,N,NA,0,8042,2017-05-05,4,127,14.8,2017-05-30,49.5,19984,125,207,KL 2017,-0.6229303973853205,1.433791700290046
22806,M,2017,ARM,2017,KL,1,2017-06-26,M4640,M4641,W*/W*,84.658,35,11,181.308,20.861,15.233,219.023,450,237.897,57.486,7,11.745,0.679,300,Y,NA,0,8042,2017-05-05,4,127,14.7,2017-05-30,58,19984,125,177,KL 2017,-0.20783478769550004,1.818410442466108
22758,F,2017,ARM,2017,KL,1,2017-07-05,M4628,M4629,O*/W*,170.976,46,26,180.034,43.555,6.338,176.54,450,83.954,200.905,7,31.679,21.054,300,Y,NA,0,7736,2017-05-03,4,123,8.8,2017-05-28,43,19583,123,186,KL 2017,1.486613856253036,0.36330794207520295
22773,M,2017,ARM,2017,KL,1,2017-06-25,M4688,M4689,W*/G*,54.531,13,9,283.1,43.119,14.026,173.186,450,158.471,96.168,7,96.275,74.102,300,Y,NA,0,8041,2017-05-03,2,124,12.3,2017-05-29,53.7,19809,123,176,KL 2017,-0.782117443736371,0.7046838959309395
